bird_y,top_pipe_y,bottom_pipe_y,pipe_x,action
300.4,168,318,396,0
301.2,168,318,392,0
302.4,168,318,388,0
304.0,168,318,384,0
306.0,168,318,380,0
308.4,168,318,376,0
311.2,168,318,372,0
314.4,168,318,368,0
318.0,168,318,364,0
322.0,168,318,360,0
326.4,168,318,356,0
331.2,168,318,352,0
336.4,168,318,348,0
342.0,168,318,344,0
348.0,168,318,340,0
354.4,168,318,336,0
361.2,168,318,332,0
368.4,168,318,328,0
361.79999999999995,168,318,324,1
355.59999999999997,168,318,320,0
349.79999999999995,168,318,316,0
344.4,168,318,312,0
339.4,168,318,308,0
334.79999999999995,168,318,304,0
330.59999999999997,168,318,300,0
326.79999999999995,168,318,296,0
323.4,168,318,292,0
320.4,168,318,288,0
317.79999999999995,168,318,284,0
315.59999999999997,168,318,280,0
313.79999999999995,168,318,276,0
312.4,168,318,272,0
311.4,168,318,268,0
310.79999999999995,168,318,264,0
310.59999999999997,168,318,260,0
310.79999999999995,168,318,256,0
311.4,168,318,252,0
312.4,168,318,248,0
313.79999999999995,168,318,244,0
315.59999999999997,168,318,240,0
317.79999999999995,168,318,236,0
320.4,168,318,232,0
323.4,168,318,228,0
326.79999999999995,168,318,224,0
330.59999999999997,168,318,220,0
334.79999999999995,168,318,216,0
339.4,168,318,212,0
344.4,168,318,208,0
349.79999999999995,168,318,204,0
355.59999999999997,168,318,200,0
348.99999999999994,168,318,196,1
342.79999999999995,168,318,192,0
336.99999999999994,168,318,188,0
331.59999999999997,168,318,184,0
326.59999999999997,168,318,180,0
321.99999999999994,168,318,176,0
317.79999999999995,168,318,172,0
313.99999999999994,168,318,168,0
310.59999999999997,168,318,164,0
307.59999999999997,168,318,160,0
304.99999999999994,168,318,156,0
302.79999999999995,168,318,152,0
300.99999999999994,168,318,148,0
299.59999999999997,168,318,144,0
292.99999999999994,168,318,140,1
286.79999999999995,168,318,136,0
280.99999999999994,168,318,132,0
275.59999999999997,168,318,128,0
270.59999999999997,168,318,124,0
265.99999999999994,168,318,120,0
261.79999999999995,168,318,116,0
257.99999999999994,168,318,112,0
254.59999999999994,168,318,108,0
251.59999999999994,168,318,104,0
248.99999999999994,168,318,100,0
246.79999999999995,168,318,96,0
244.99999999999994,168,318,92,0
243.59999999999994,168,318,88,0
242.59999999999994,168,318,84,0
241.99999999999994,168,318,80,0
241.79999999999995,168,318,76,0
241.99999999999994,168,318,72,0
242.59999999999994,168,318,68,0
243.59999999999994,168,318,64,0
244.99999999999994,168,318,60,0
246.79999999999995,168,318,56,0
240.19999999999996,168,318,52,1
233.99999999999997,168,318,48,0
228.19999999999996,168,318,44,0
222.79999999999995,168,318,40,0
217.79999999999995,168,318,36,0
213.19999999999996,168,318,32,0
208.99999999999997,168,318,28,0
205.19999999999996,168,318,24,0
201.79999999999995,168,318,20,0
198.79999999999995,168,318,16,0
196.19999999999996,168,318,12,0
193.99999999999997,168,318,8,0
192.19999999999996,168,318,4,0
190.79999999999995,168,318,0,0
189.79999999999995,168,318,-4,0
189.19999999999996,168,318,-8,0
188.99999999999997,168,318,-12,0
189.19999999999996,168,318,-16,0
189.79999999999995,168,318,-20,0
190.79999999999995,168,318,-24,0
192.19999999999996,168,318,-28,0
193.99999999999997,168,318,-32,0
196.19999999999996,168,318,-36,0
198.79999999999995,168,318,-40,0
201.79999999999995,168,318,-44,0
205.19999999999996,168,318,-48,0
208.99999999999997,168,318,-52,0
213.19999999999996,168,318,-56,0
217.79999999999995,168,318,-60,0
222.79999999999995,137,287,400,0
228.19999999999996,137,287,396,0
233.99999999999997,137,287,392,0
240.2,137,287,388,0
246.79999999999998,137,287,384,0
253.79999999999998,137,287,380,0
261.2,137,287,376,0
269.0,137,287,372,0
277.2,137,287,368,0
285.8,137,287,364,0
294.8,137,287,360,0
304.20000000000005,137,287,356,0
314.00000000000006,137,287,352,0
324.20000000000005,137,287,348,0
334.80000000000007,137,287,344,0
328.20000000000005,137,287,340,1
322.00000000000006,137,287,336,0
316.20000000000005,137,287,332,0
310.80000000000007,137,287,328,0
305.80000000000007,137,287,324,0
301.20000000000005,137,287,320,0
297.00000000000006,137,287,316,0
293.20000000000005,137,287,312,0
289.80000000000007,137,287,308,0
286.80000000000007,137,287,304,0
284.20000000000005,137,287,300,0
282.00000000000006,137,287,296,0
280.20000000000005,137,287,292,0
278.80000000000007,137,287,288,0
277.80000000000007,137,287,284,0
277.20000000000005,137,287,280,0
277.00000000000006,137,287,276,0
277.20000000000005,137,287,272,0
277.80000000000007,137,287,268,0
278.80000000000007,137,287,264,0
280.20000000000005,137,287,260,0
282.00000000000006,137,287,256,0
284.20000000000005,137,287,252,0
286.80000000000007,137,287,248,0
289.80000000000007,137,287,244,0
283.20000000000005,137,287,240,1
277.00000000000006,137,287,236,0
271.20000000000005,137,287,232,0
265.80000000000007,137,287,228,0
260.80000000000007,137,287,224,0
256.20000000000005,137,287,220,0
